what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483164945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389483169363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483175276
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483178069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483184817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483186693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483189444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483193282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389483198664
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483208989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483211103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1389483214056
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1389483215113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483225505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483232217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483252900
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483271170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483272561
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483275072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483276071
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483277693
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483284583
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483360952
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483362142
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483364748
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389483367689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389483380800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483387170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483388647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483395166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483396268
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389483398450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483405946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483406766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1389483407772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483412697
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483414433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483418049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483422506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483426198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483428316
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483430993
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1389483432546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1389483439788
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1389483441859
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1389483449505
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1389483449825
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1389483450118
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1389483450252
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1389483453609
